emailstatus;language;sent;remindersent;remindercount;usesleft;id;token;submitdate;lastpage;startlanguage;ipaddr;Q1;Q2;Q3;Q4;Q5_SQ001;Q6;Q7;Q8;Q9_SQ001;Q9_SQ002;Q9_SQ003;Q9_SQ004;Q9_SQ005;Q9_SQ006;Q9_SQ007;Q9_SQ008;Q9_SQ009;Q9_SQ010;Q9_SQ011;Q9_SQ012;Q9_SQ013;Q9_SQ014;Q9_SQ015;Q9_SQ016;Q9_SQ017;Q10_1;Q10_2;Q10_3;Q10_4;Q10_5;Q10_6;Q10_7;Q10_8;Q11_SQ001;Q11_SQ002;Q11_SQ003;Q11_SQ004;Q11_SQ005;Q11_SQ006;Q12_SQ001;Q12_SQ002;Q12_SQ003;Q12_SQ004;Q12_SQ005;Q12_SQ006;Q12_SQ007;Q13;Emplmnt;Age;Gradyear;filter_$;Age2cats;Grad2cats;age2017
OK;el;2016-12-05 15:28;N;0;0;13;aP~gVWfKEkLHEG5;1/1/1980 0:00:00;13;el;2.84.155.24;2;1983;1;2006;8;1;3;3;3;4;3;3;3;2;3;2;3;2;2;2;2;2;2;2;2;1;1;1;2;1;1;2;2;0;0;0;0;0;1;1;0;0;0;0;0;0;2;1;2;2;1;1;1;34
OK;el;2016-12-05 15:34;N;0;1;14;E~cTM5_~_6EqnPP; ;8;el;90.213.250.240;2;1980;1;2008;7;18; ;1;0;0;0;0;0;0;0;0;0; ;0; ; ;0;0; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0; ;16;3;3;0;2;2;37
OK;el;2016-12-05 15:38;N;0;0;15;z8SI9u3_Z~_ZWms;1/1/1980 0:00:00;13;el;2.84.151.183;1;1970;1;2007;10;7;1;1;1;1;1;1;1;2;2;2;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;7;4;2;1;2;1;47
OK;el;2016-12-05 15:34;N;0;0;16;_fObuHna3beNd8q;1/1/1980 0:00:00;13;el;31.177.58.21;1;1982;1;2006;8;7;2;4;2;3;4;4;2;2;2;2;2;1;3;3;2;2;2;2;2;1;1;2;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;2;7;3;2;1;2;1;35
OK;el;2016-12-04 12:05;N;0;0;18;ObCYVdOWFi0akR3;1/1/1980 0:00:00;13;el;79.129.15.64;1;1978;1;2005;7;7;3;4;2;3;3;5;2;1;1;4;5;1;2;2;5;2;1;2;2;2;1;1;2;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;2;7;3;2;1;2;1;39
OK;el;2016-12-05 15:28;N;0;0;19;IrsVfn9V7QnshH6;1/1/1980 0:00:00;13;el;85.73.41.33;1;1975;1;2008;10;4;2;1;1;2;2;2;2;1;1;2;3;1;1;2;1;2;3;2;1;2;2;1;1;2;1;2;2;1;0;0;0;0;0;1;0;0;0;0;0;0;1;4;4;3;1;2;2;42
OK;el;2016-12-05 15:34;N;0;0;20;s4gqVTM0K~NxdMY;1/1/1980 0:00:00;13;el;94.66.220.1;2;1982;1;2008;9;4;2;2;1;2;3;3;1;1;1;1;3;1;2;2;2;1;2;2;1;1;1;2;1;1;1;2;2;0;1;0;0;0;0;0;1;0;0;1;1;0;1;4;3;3;1;2;2;35
OK;el;2016-12-05 15:28;N;0;0;21;hw5eScoRMSFhrqT;1/1/1980 0:00:00;13;el;178.128.233.85;2;1980;1;2007;9;4;1;1;2;1;2;3;2;2;2;2;3;2;1;2;2;2;3;3;2;2;1;1;1;2;2;2;1;0;0;1;0;0;0;0;1;1;1;1;1;1;1;4;3;2;1;2;1;37
OK;el;2016-12-05 15:34;N;0;0;22;OHZ4OiCuEXFWQna;1/1/1980 0:00:00;13;el;188.73.193.122;2;1983;1;2008;6;4;2;1;3;5;5;5;2;4;4;5;5;4;5;5;3;2;2;3;3;1;1;1;1;2;1;1;1;0;1;0;0;0;0;0;1;1;1;1;1;1;4;4;2;3;1;1;2;34
OK;el;2016-12-05 15:39;N;0;0;23;sVLGmfh8xrpoh4n;1/1/1980 0:00:00;13;el;84.205.227.23;2;1983;1;2010;9;4;2;2;1;3;3;5;2;2;2;3;3;2;2;2;2;2;2;2;2;1;2;1;1;1;2;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;1;4;2;3;1;1;2;34
OK;el;2016-12-06 10:02;N;0;0;24;a_zWVUCFMELPE2e;1/1/1980 0:00:00;13;el;79.129.150.189;1;1986;1;2010;7;18; ;4;2;5;5;5;2;2;2;3;4;2;5;5;2;2;2;4;2;1;1;2;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;2;16;2;3;0;1;2;31
OK;el;2016-12-06 10:02;N;0;0;25;EkxF68fSVeZveeQ;1/1/1980 0:00:00;13;el;46.103.121.200;1;1982;1;2007;10;4;2;1;1;2;3;3;1;1;1;1;2;1;2;2;1;1;1;1;2;2;1;1;1;2;1;1;2;0;1;0;0;0;0;0;0;0;0;1;1;1;1;4;3;2;1;2;1;35
OK;el;2016-12-06 09:45;N;0;0;27;74zmySLzVL59sYV;1/1/1980 0:00:00;13;el;2.86.136.189;1;1982;1;2011;3;4;2;4;3;5;5;5;4;4;5;4;4;4;4;5;4;4;4;4;4;1;2;2;1;2;1;1;2;1;0;0;0;0;0;1;0;0;0;0;0;0;3;4;3;3;1;2;2;35
OK;el;2016-12-06 09:44;N;0;0;28;FPmBhTgqIFECiQ_;1/1/1980 0:00:00;13;el;31.217.178.250;1;1974;1;2010;9;8;5;4;1;4;4;4;3;1;1;3;3;1;1;1;2;1;1;1;1;2;2;1;1;2;1;2;2;0;1;0;0;0;0;1;0;0;0;0;0;0;1;8;4;3;1;2;2;43
OK;el;2016-12-06 10:07;N;0;0;29;AUhUTklXTH76pak;1/1/1980 0:00:00;13;el;46.246.210.23;2;1981;1;2011;9;18; ;3;1;4;4;5;2;2;2;4;4;2;1;2;1;1;3;1;1;1;1;1;2;2;2;1;1;0;0;1;0;0;0;0;0;0;0;1;0;1;1;16;3;3;0;2;2;36
OK;el;2016-12-06 09:44;2016-12-12 17:28;1;0;30;YVj_PDBidtOFGVq;1/1/1980 0:00:00;13;el;178.59.92.127;1;1985;1;2010;8;18; ;2;1;2;3;3;1;1;1;2;3;1;3;3;2;2;1;2;2;2;1;2;1;1;1;2;2;1;0;0;0;0;0;1;0;0;0;0;0;0;1;16;2;3;0;1;2;32
OK;el;2016-12-05 15:34;N;0;0;31;ZaTUC2hzoys5Rkp;1/1/1980 0:00:00;13;el;62.1.136.37;1;1981;1;2008;8;19; ;1;1;3;3;2;2;1;2;3;3;1;1;2;1;1;1;2;1;1;1;2;2;1;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;1;17;3;3;0;2;2;36
OK;el;2016-12-06 10:07;N;0;0;32;Z99I9N6TCuZBknG;1/1/1980 0:00:00;13;el;79.166.126.128;2;1979;1;2011;9;18; ;3;1;4;5;3;1;2;1;2;2;1;1;1;1;1;2;1;1;2;2;1;2;2;2;1;2;0;1;0;0;0;0;0;1;0;0;0;0;0;2;16;3;3;0;2;2;38
OK;el;2016-12-06 10:07;N;0;0;33;Fvb22xR67lJvxuZ;1/1/1980 0:00:00;13;el;87.203.234.3;1;1986;1;2011;9;7;2;3;1;2;2;2;2;2;2;1;2;1;1;3;2;1;1;2;1;1;2;2;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;7;2;3;1;1;2;31
OK;el;2016-12-06 10:07;N;0;0;35;mWO9wjatkQsXfYl;1/1/1980 0:00:00;13;el;87.202.159.20;1;1983;1;2011;9;1;2;4;2;5;5;5;2;2;2;3;4;1;3;3;3;2;2;3;2;1;1;2;1;1;1;2;2;1;0;0;0;0;0;1;0;0;0;0;0;0;2;1;2;3;1;1;2;34
OK;el;2016-12-06 10:02;N;0;0;36;1_wJDoyxGYSR5Cm;1/1/1980 0:00:00;13;el;84.205.227.11;1;1981;1;2011;10;1;3;2;1;2;2;2;1;1;1;2;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;3;3;1;2;2;36
OK;el;2016-12-06 10:07;N;0;0;37;euxRabpooYoLK79;1/1/1980 0:00:00;13;el;31.217.180.49;1;1987;1;2012;10;6;3;3;1;3;3;3;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;2;2;2;0;1;0;0;0;0;1;0;0;0;0;0;0;1;2;2;3;1;1;2;30
OK;el;2016-12-05 15:38;N;0;0;38;KsReWBgW_MzPJQ4;1/1/1980 0:00:00;13;el;37.6.1.102;1;1984;1;2009;4;4;3;4;2;5;5;5;4;2;4;5;5;2;5;5;4;2;2;4;3;1;1;1;2;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;4;4;2;3;1;1;2;33
OK;el;2016-12-06 09:44;N;0;0;39;05CeTdjIAsIxvHa;1/1/1980 0:00:00;13;el;62.74.22.198;1;1985;1;2010;8;4;2;1;1;1;1;1;1;2;1;1;2;1;2;2;2;1;1;1;1;1;1;2;1;1;1;2;2;0;1;0;0;0;0;0;0;0;0;1;0;0;1;4;2;3;1;1;2;32
OK;el;2016-12-07 12:21;N;0;0;40;o_rtFoPdkHhAr4u;1/1/1980 0:00:00;13;el;84.205.231.45;1;1985;1;2013;8;4;2;2;1;2;1;1;3;1;2;3;3;1;2;1;1;1;1;3;2;1;1;2;2;2;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;1;2;4;2;4;1;1;2;32
OK;el;2016-12-07 12:42;N;0;0;41;fv7wZNJTeIOjEAR;1/1/1980 0:00:00;13;el;85.74.115.64;1;1981;1;2014;8;4;2;1;2;2;3;5;3;2;4;2;2;2;4;4;3;2;2;4;2;1;2;2;1;1;1;2;2;0;1;0;0;0;0;1;0;0;0;0;0;0;1;4;3;4;1;2;2;36
OK;el;2016-12-07 12:42;N;0;0;42;jr5pKdM1Zt2O4ED;1/1/1980 0:00:00;13;el;79.167.113.1;1;1985;1;2014;7;18; ;3;1;5;5;5;1;1;1;2;3;1;1;1;2;1;1;1;1;1;2;3;2;1;2;3;2;0;1;0;0;0;0;0;1;0;1;1;1;1;2;16;2;4;0;1;2;32
OK;el;2016-12-07 12:42;N;0;0;43;n_UhEq_nd2d84xS;1/1/1980 0:00:00;13;el;79.107.8.149;1;1979;1;2015;9;18; ;3;1;2;4;5;2;2;3;3;3;2;4;3;2;2;3;3;1;1;1;1;1;2;1;1;1;0;1;0;0;0;0;0;0;1;0;1;0;1;1;16;3;4;0;2;2;38
OK;el;2016-12-07 12:42;N;0;0;45;Qeddm7OIONljoHm;1/1/1980 0:00:00;13;el;2.84.203.245;1;1968;1;2015;9;4;2;4;1;5;5;5;2;1;2;2;2;2;1;2;1;1;2;2;1;2;1;2;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;4;4;4;1;2;2;49
OK;el;2016-12-07 12:42;N;0;0;46;~UR6oj03kSY529f;1/1/1980 0:00:00;13;el;94.71.10.34;2;1977;1;2014;8;4;3;3;2;4;4;5;2;2;2;3;4;2;3;3;3;2;2;3;3;2;1;2;2;2;1;2;2;0;1;0;0;0;0;0;0;0;0;1;0;0;2;4;4;4;1;2;2;40
OK;el;2016-12-07 12:21;N;0;0;47;yFWI_od5LNQ0Xr1;1/1/1980 0:00:00;13;el;85.74.165.163;2;1985;1;2013;10;16; ;4;2;5;5;5;2;2;3;3;3;4;5;5;2;2;2;5;2;2;2;2;2;1;2;2;2;1;0;0;0;0;0;1;0;0;0;0;0;0;1;16;2;4;0;1;2;32
OK;el;2016-12-07 12:42;N;0;0;48;X5iCZVxMnir5GJ6;1/1/1980 0:00:00;13;el;46.176.249.69;1;1988;1;2013;7;1;3;2;1;4;5;5;3;2;2;2;2;1;3;4;2;1;1;1;1;1;2;2;1;1;2;1;2;1;0;0;0;0;0;0;1;0;0;0;0;1;2;1;1;4;1;1;2;29
OK;el;2016-12-07 12:42;N;0;0;49;7gjcQ4IlwRwor3t;1/1/1980 0:00:00;13;el;85.74.174.148;2;1988;1;2014;8;8;2;4;2;4;4;4;3;2;2;2;3;2;1;1;2;2;1;3;1;1;1;1;1;2;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;1;8;1;4;1;1;2;29
OK;el;2016-12-07 12:42;N;0;0;50;Tv73uASKIuD0gVW;1/1/1980 0:00:00;13;el;195.251.16.103;1;1967;1;2014;9;2;2;1;1;4;2;5;2;1;1;5;4;1;2;2;2;2;2;4;2;1;1;2;2;1;2;1;2;1;0;0;0;0;0;1;0;0;0;0;0;0;1;2;4;4;1;2;2;50
OK;el;2016-12-07 12:21;N;0;0;51;KV96yfHmLtE3rIs;1/1/1980 0:00:00;13;el;193.92.252.156;1;1977;1;2014;10;16; ;5;1;5;5;5;2;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;1;1;1;0;0;0;0;0;0;1;1;0;1;0;1;1;16;4;4;0;2;2;40
OK;el;2016-12-07 12:42;N;0;0;52;gl_qawT9HC8Ovr3;1/1/1980 0:00:00;13;el;2.86.104.127;1;1983;1;2014;10;2;2;2;4;5;1;4;3;3;1;4;5;2;2;2;4;2;2;4;1;2;2;2;1;2;2;2;2;1;0;0;0;0;0;1;0;0;0;0;0;0;1;2;2;4;1;1;2;34
OK;el;2016-12-07 12:42;N;0;0;53;FHDnJL2v6AdIjWh;1/1/1980 0:00:00;13;el;5.203.151.34;1;1988;1;2015;7;4;2;4;1;4;5;5;5;1;4;5;5;1;2;2;3;2;3;4;4;1;1;3;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;3;4;1;4;1;1;2;29
OK;el;2016-12-07 12:42;N;0;0;54;e6RXvmGAPtqSwgN;1/1/1980 0:00:00;13;el;62.74.6.243;1;1975;1;2015;7;8;3;3;1;5;3;4;2;1;1;2;3;1;3;3;3;1;1;1;1;2;1;2;1;2;2;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;2;8;4;4;1;2;2;42
OK;el;2016-12-05 15:34;N;0;0;55;utOmePAOHndbSHA;1/1/1980 0:00:00;13;el;2.84.155.24;2;1983;1;2008;8;8;4;4;2;5;5;5;3;2;2;3;3;1;3;3;2;1;1;3;2;1;2;1;2;2;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;2;8;2;3;1;1;2;34
OK;el;2016-12-07 12:42;N;0;0;56;tgEk5qOh2U0okDt;1/1/1980 0:00:00;13;el;46.190.35.106;2;1986;1;2015;8;8;2;2;1;1;3;3;1;2;2;3;3;1;3;2;2;1;2;1;1;1;1;2;2;1;2;2;2;1;0;0;0;0;0;1;0;0;0;0;0;0;2;8;2;4;1;1;2;31
OK;el;2016-12-05 15:34;N;0;0;58;iSsuYpkZZ84xneo;1/1/1980 0:00:00;13;el;79.129.180.162;1;1983;1;2010;8;4;2;2;2;2;2;2;2;2;2;3;3;2;2;2;2;2;2;2;3;1;1;2;1;1;1;1;1;0;1;0;0;1;0;0;0;0;0;1;0;1;2;4;2;3;1;1;2;34
OK;el;2016-12-06 10:02;N;0;0;59;IpIMfgtVTG41peC;1/1/1980 0:00:00;13;el;46.176.79.229;1;1987;1;2011;9;19; ;1;3;3;3;3;3;2;3;2;3;3;3;2;2;2;2;2;2;1;2;2;1;2;1;2;2;0;1;0;0;0;0;0;1;0;0;0;0;0;1;17;2;3;0;1;2;30
OK;el;2016-12-07 12:42;N;0;0;60;F4s~s8b~69ZrQlX;1/1/1980 0:00:00;13;el;94.65.107.60;2;1981;1;2012;8;8;2;3;2;5;5;5;2;2;3;3;4;1;2;1;3;1;2;2;5;3;3;2;2;2;1;2;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;8;3;3;1;2;2;36
OK;el;2016-12-07 12:21;N;0;0;61;wlO7HodnLvy3QWA;1/1/1980 0:00:00;13;el;79.131.114.199;2;1977;1;2012;9;4;2;4;1;5;2;2;2;2;2;2;3;2;3;3;3;3;2;3;1;2;2;1;1;2;2;2;2;0;0;0;0;0;1;1;0;0;0;0;0;0;1;4;4;3;1;2;2;40
OK;el;2016-12-06 10:07;N;0;0;62;983wN2cEsojau~b;1/1/1980 0:00:00;13;el;141.255.62.169;1;1978;1;2011;9;7;2;4;2;3;5;5;3;2;2;5;5;2;3;3;3;3;2;3;2;2;2;2;1;1;1;2;2;0;1;0;0;0;0;0;0;0;0;1;0;0;2;7;3;3;1;2;2;39
OK;el;2016-12-07 12:42;N;0;0;63;_gYd7zG0Iajf2R3;1/1/1980 0:00:00;13;el;91.140.89.144;1;1984;1;2015;9;8;4;4;1;5;5;5;2;1;2;3;5;2;5;5;2;1;2;1;1;1;1;1;1;2;1;1;2;1;0;0;0;0;0;1;0;0;0;0;0;0;2;8;2;4;1;1;2;33
OK;el;2016-12-07 12:21;N;0;0;64;nw~eZHKaTBMfUe2;1/1/1980 0:00:00;13;el;85.74.222.246;1;1986;1;2012;7;16; ;4;2;4;3;2;3;2;2;3;3;2;2;2;2;2;2;3;2;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;2;16;2;3;0;1;2;31
OK;el;2016-12-06 09:44;N;0;0;65;tidXCF~Tbso7vHK;1/1/1980 0:00:00;13;el;62.74.6.213;1;1972;1;2010;9;8;4;4;2;2;3;4;1;1;1;2;2;1;2;3;1;2;2;2;1;1;1;1;2;1;1;2;2;1;0;0;0;0;0;0;0;0;0;1;1;1;1;8;4;3;1;2;2;45
OK;el;2016-12-08 11:07;N;0;0;66;PqlJUx4_wRnvSZh;1/1/1980 0:00:00;13;el;213.16.217.70;1;1969;1;2016;8;7;4;4;1;3;5;5;1;1;1;2;4;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;7;4;4;1;2;2;48
OK;el;2016-12-08 11:07;N;0;0;67;wgUP5BNdvOjyIxG;1/1/1980 0:00:00;13;el;94.66.177.203;2;1980;1;2016;3;17; ;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;4;5;5;1;1;1;1;3;2;1;3;1;0;0;0;0;0;1;0;0;0;0;0;0;5;17;3;4;0;2;2;37
OK;el;2016-12-08 11:07;N;0;0;68;VGs7PHCi~7jw3yv;1/1/1980 0:00:00;13;el;141.255.8.103;1;1989;1;2016;6;1;3;3;2;5;5;5;2;2;4;4;5;2;4;4;2;2;3;3;3;2;1;1;1;2;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;3;1;1;4;1;1;2;28
OK;el;2016-12-08 11:10;N;0;0;69;nnIiv~9H0rWxGBC;1/1/1980 0:00:00;13;el;79.107.103.98;1;1972;3;2014;8;2;2;1;1;5;4;4;2;1;1;2;2;1;1;1;2;2;1;2;1;2;1;1;1;2;2;1;1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;2;4;4;0;2;2;45
OK;el;2016-12-08 11:07;N;0;0;70;GNW41RZXQmGoxLu;1/1/1980 0:00:00;13;el;62.74.27.43;2;1989;1;2015;8;8;3;4;1;5;5;5;2;1;2;3;3;2;3;4;3;2;2;2;2;2;2;1;1;1;2;1;2;1;0;0;0;0;0;1;0;0;0;0;0;0;3;8;1;4;1;1;2;28
OK;el;2016-12-08 11:10;N;0;0;71;XaWpp1DaSv22chk;1/1/1980 0:00:00;13;el;84.205.244.136;1;1976;3;2015;10;4;1;1;2;5;1;2;2;1;1;1;1;2;1;1;1;2;2;2;1;2;2;2;1;1;2;2;2;1;0;0;0;0;0;1;0;0;0;0;0;0;1;4;4;4;0;2;2;41
OK;el;2016-12-08 11:10;N;0;0;72;ydaRPym~s0hPVMG;1/1/1980 0:00:00;13;el;2.84.225.216;1;1988;3;2015;7;1;2;2;2;5;5;5;1;1;2;2;2;1;3;2;1;1;1;2;1;1;2;2;1;2;1;2;2;1;0;0;0;0;0;1;0;0;0;0;0;0;2;1;1;4;0;1;2;29
OK;el;2016-12-08 11:07;N;0;0;73;_KOs4yv9AGkdLqC;1/1/1980 0:00:00;13;el;37.6.1.23;2;1980;1;2016;7;8;2;4;1;4;2;3;1;1;2;4;4;1;3;3;3;2;2;2;2;1;2;2;1;1;1;1;1;0;1;0;0;0;1;0;0;1;0;1;0;0;1;8;3;4;1;2;2;37
OK;el;2016-12-08 11:10;N;0;0;74;UkTX5Ute9q0NKps;1/1/1980 0:00:00;13;el;84.205.244.138;1;1983;3;2014;10;4;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;4;2;4;0;1;2;34
OK;el;2016-12-08 11:10;N;0;1;75;A~vnGtFOJnp_XmR; ;5;el;84.205.231.40;1;1982;3;2014;7; ; ; ;0;0;0;0;0;0;0;0;0; ;0; ; ;0;0; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ;3;4;0;2;2;35
OK;el;2016-12-08 11:07;N;0;0;76;DJgb5gL2pWqD46u;1/1/1980 0:00:00;13;el;84.205.236.7;2;1964;1;2016;7;4;4;2;2;5;5;5;2;2;2;3;5;2;2;5;2;2;2;2;1;1;1;1;2;2;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;4;4;4;1;2;2;53
OK;el;2016-12-08 11:10;N;0;0;77;ztZJAs0PdSVKHaa;1/1/1980 0:00:00;13;el;46.177.127.60;2;1987;3;2014;10;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;3;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;2;4;0;1;2;30
OK;el;2016-12-08 11:10;N;0;0;78;4tnjr3kilavxhbd;1/1/1980 0:00:00;13;el;85.72.202.124;1;1981;3;2015;8;1;1;1;2;5;2;1;2;2;2;1;2;1;2;2;1;1;1;1;1;1;2;3;1;2;1;2;2;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;3;4;0;2;2;36
OK;el;2016-12-06 10:02;N;0;1;79;UlJrMcp1Bum30IG; ;5;el;141.237.75.210;2;1970;1;2010;8; ; ; ;0;0;0;0;0;0;0;0;0; ;0; ; ;0;0; ; ; ; ; ; ; ; ; ; ;0;0;0;0;0;0;0;0;0;0;0;0;0; ; ;4;3; ;2;2;47
OK;el;2016-12-08 11:11;N;0;0;80;SytiGKNxb8hZc2S;1/1/1980 0:00:00;13;el;84.205.231.45;2;1988;3;2013;8;8;2;2;1;2;3;4;3;2;1;2;3;2;1;2;3;2;1;2;3;1;2;2;2;1;2;2;2;1;0;0;0;0;0;1;0;0;0;0;0;0;3;8;1;4;0;1;2;29
OK;el;2016-12-08 11:10;N;0;0;81;xhnAgdDLhWxMZtr;1/1/1980 0:00:00;13;el;80.107.56.46;2;1975;3;2014;9;1;2;2;1;5;5;5;2;2;2;2;2;1;1;1;3;2;1;2;1;1;2;2;1;1;1;2;2;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;4;4;0;2;2;42
OK;el;2016-12-08 11:10;N;0;0;82;atvI2n7S~2wqiKy;1/1/1980 0:00:00;13;el;195.167.46.151;1;1981;3;2014;7;2;1;3;4;4;5;5;4;2;4;5;4;2;5;4;2;3;2;4;4;1;1;1;1;2;2;2;2;0;0;0;1;0;0;1;0;0;0;0;0;0;2;2;3;4;0;2;2;36
